"satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","division","salary","left"
0.8,0.6,3,212,3,0,0,"sales","high",0
0.69,0.86,5,195,6,0,0,"management","high",0
0.73,0.88,4,236,3,1,0,"technical","low",0
0.49,0.36,2,192,3,0,0,"sales","low",0
0.94,0.91,3,250,3,1,0,"management","low",0
0.85,0.48,4,214,3,0,0,"sales","medium",0
0.98,0.51,4,223,2,0,0,"sales","low",0
0.68,0.69,3,148,2,0,0,"IT","low",0
0.56,0.69,5,239,2,1,0,"IT","low",0
0.53,0.52,3,233,4,0,0,"IT","low",0
0.64,0.88,3,252,2,0,0,"sales","low",0
0.6,0.64,2,137,5,0,0,"sales","medium",0
0.64,0.99,5,262,5,0,0,"sales","low",0
0.97,0.94,3,202,2,0,0,"sales","medium",0
0.65,0.53,5,205,3,1,0,"technical","medium",0
0.56,0.64,5,241,3,1,0,"support","medium",0
0.93,0.53,5,204,2,0,0,"support","medium",0
0.28,0.89,4,97,6,0,0,"management","low",0
0.72,0.75,4,211,4,0,0,"sales","medium",0
0.88,0.63,3,184,4,0,0,"support","medium",0
0.17,0.56,5,218,4,1,0,"support","medium",0
0.16,0.83,5,173,4,0,0,"IT","high",0
0.62,0.89,3,153,3,1,0,"hr","low",0
0.74,0.54,6,113,3,0,0,"technical","medium",0
0.65,0.82,4,196,2,0,0,"IT","low",0
0.52,0.56,3,225,3,0,0,"accounting","medium",0
0.73,0.48,3,211,7,0,0,"sales","medium",0
0.7,0.88,4,180,2,0,0,"support","medium",0
0.68,0.92,3,226,2,0,0,"IT","high",0
0.96,0.91,3,257,3,0,0,"support","medium",0
0.6,0.61,4,170,3,0,0,"accounting","low",0
0.64,0.5,3,146,3,0,0,"technical","low",0
0.97,0.76,6,142,2,0,0,"product_mng","low",0
0.5,0.92,4,266,7,0,0,"product_mng","medium",0
0.59,0.81,4,189,3,0,0,"sales","medium",0
0.48,0.6,2,121,5,0,0,"hr","low",0
0.62,0.66,3,208,3,0,0,"management","low",0
0.24,0.94,4,146,4,0,0,"product_mng","medium",0
0.79,0.98,4,185,2,0,0,"marketing","medium",0
0.64,0.67,2,223,3,0,0,"product_mng","medium",0
0.72,0.5,3,205,3,1,0,"sales","low",0
0.76,0.64,4,144,2,0,0,"sales","high",0
0.9,0.81,6,273,5,0,0,"technical","medium",0
0.3,0.61,3,138,5,0,0,"sales","medium",0
0.85,0.98,5,222,3,0,1,"sales","medium",0
0.69,0.76,5,174,3,0,0,"marketing","low",0
0.17,0.61,6,154,10,1,0,"sales","medium",0
0.63,0.49,4,151,3,0,0,"technical","medium",0
0.63,0.8,3,243,3,0,0,"technical","medium",0
0.78,0.61,3,257,3,0,0,"support","medium",0
0.63,0.71,4,244,2,0,0,"support","low",0
0.6,0.97,3,164,2,0,0,"technical","low",0
0.68,0.65,3,243,2,0,0,"sales","medium",0
0.56,0.74,3,154,2,0,0,"hr","medium",0
0.56,0.98,5,171,3,1,0,"sales","low",0
0.67,0.49,3,185,3,0,0,"support","low",0
0.94,0.6,5,278,2,0,0,"technical","low",0
0.66,0.84,4,253,4,0,0,"marketing","low",0
0.23,0.88,4,175,6,0,0,"technical","low",0
0.74,0.71,3,206,3,0,0,"management","high",0
1,0.6,4,265,4,0,0,"technical","low",0
0.8,0.9,4,211,8,0,0,"accounting","medium",0
0.38,0.54,2,112,3,0,0,"marketing","medium",0
0.99,0.79,3,271,4,0,0,"marketing","high",0
0.48,0.74,2,157,2,1,0,"sales","medium",0
0.87,0.74,4,178,2,1,0,"support","medium",0
0.65,0.94,4,184,7,0,0,"sales","medium",0
0.6,0.52,3,183,2,0,0,"support","low",0
0.58,0.91,3,154,10,0,0,"product_mng","high",0
0.66,0.53,3,164,6,0,0,"support","low",0
0.8,0.95,4,272,2,0,0,"sales","low",0
0.39,0.56,6,228,5,0,0,"technical","medium",0
0.17,0.76,4,199,5,0,0,"management","medium",0
0.67,0.36,4,97,4,0,0,"sales","medium",0
0.69,0.59,4,264,3,0,0,"sales","medium",0
0.84,0.78,5,164,3,0,0,"accounting","low",0
0.83,0.6,4,161,2,0,0,"management","high",0
0.84,0.61,3,253,2,0,0,"sales","medium",0
0.55,0.8,3,192,3,1,0,"marketing","low",0
0.99,0.84,4,142,10,0,0,"technical","high",0
0.76,0.79,3,161,3,0,0,"technical","low",0
0.6,0.96,4,99,6,0,0,"RandD","medium",0
0.54,0.73,3,157,3,0,0,"RandD","low",0
0.63,0.66,4,157,2,0,0,"support","medium",0
0.55,0.64,6,148,4,0,0,"support","low",0
0.51,0.98,4,171,2,0,0,"RandD","low",0
0.96,0.83,3,234,3,0,0,"sales","low",0
0.65,0.76,2,170,5,0,0,"IT","low",0
0.95,0.81,4,272,3,0,0,"sales","medium",0
0.68,0.75,5,243,3,1,0,"support","low",0
0.64,0.55,4,215,2,0,0,"sales","low",0
0.58,0.67,5,133,10,0,0,"technical","medium",0
0.51,0.57,3,162,3,1,0,"RandD","medium",0
0.65,0.53,5,142,3,0,0,"product_mng","medium",0
0.78,0.97,4,221,4,0,0,"hr","low",0
0.7,0.9,4,254,3,0,0,"IT","medium",0
0.91,0.97,3,167,2,0,0,"support","low",0
1,0.91,3,160,4,0,0,"sales","medium",0
0.99,0.61,5,196,3,0,0,"technical","medium",0
0.68,0.61,3,261,5,0,0,"sales","medium",0
0.71,0.89,3,222,3,0,0,"accounting","low",0
0.77,0.85,4,189,2,0,0,"sales","low",0
0.47,0.62,6,171,5,1,0,"marketing","high",0
0.44,0.41,3,125,7,0,0,"sales","medium",0
0.37,0.71,6,266,5,0,0,"IT","low",0
0.14,0.79,5,271,4,0,0,"management","high",0
0.96,0.82,4,274,3,0,0,"support","medium",0
0.57,0.9,3,144,2,0,0,"IT","medium",0
0.98,0.74,4,260,2,1,0,"marketing","low",0
0.7,0.71,5,269,3,0,0,"technical","low",0
0.53,0.5,4,185,3,0,0,"hr","low",0
0.63,0.48,4,179,3,0,0,"marketing","low",0
0.39,0.41,6,115,3,0,0,"sales","low",0
0.94,0.52,3,273,3,0,0,"product_mng","high",0
0.2,0.76,5,188,3,0,0,"IT","low",0
0.78,0.98,4,239,3,0,0,"RandD","medium",0
0.75,0.83,3,146,3,0,0,"support","medium",0
0.87,0.94,4,256,2,0,0,"support","medium",0
0.7,0.55,4,159,3,0,0,"sales","low",0
0.49,1,3,176,3,0,0,"support","medium",0
0.35,0.66,2,140,2,0,0,"support","medium",0
0.95,0.65,3,183,3,0,0,"support","medium",0
0.85,0.6,4,257,3,0,0,"technical","medium",0
0.9,1,4,218,2,0,0,"marketing","low",0
0.91,0.89,2,219,4,0,0,"technical","low",0
0.67,0.84,4,224,3,0,0,"support","low",0
0.69,0.74,4,266,2,1,0,"support","low",0
0.93,0.75,5,143,3,0,0,"support","low",0
0.78,0.89,4,272,2,0,0,"support","low",0
0.3,0.53,3,210,6,0,0,"marketing","medium",0
0.77,0.48,5,262,7,0,0,"IT","medium",0
0.38,0.6,5,145,5,0,0,"hr","medium",0
0.99,0.91,3,241,2,0,0,"sales","high",0
0.75,0.82,4,143,2,0,0,"support","low",0
0.83,0.62,4,242,3,0,0,"sales","low",0
0.67,0.57,5,215,4,0,0,"technical","low",0
0.7,0.84,6,225,6,0,0,"accounting","low",0
0.56,0.85,3,265,10,1,0,"management","low",0
0.53,1,3,164,4,0,0,"IT","medium",0
0.79,0.54,6,190,4,0,0,"management","low",0
0.29,0.57,5,134,2,0,1,"marketing","medium",0
0.5,0.86,3,253,2,0,0,"RandD","low",0
0.83,0.82,5,179,3,0,0,"technical","low",0
0.96,0.81,3,247,3,0,0,"RandD","low",0
0.97,0.82,4,176,2,0,0,"sales","low",0
0.59,0.82,3,149,3,0,0,"hr","low",0
0.93,0.62,3,184,3,0,0,"sales","medium",0
0.15,0.91,5,230,3,0,0,"support","medium",0
0.39,0.6,2,161,2,0,0,"product_mng","medium",0
1,0.72,5,194,7,1,0,"sales","medium",0
0.99,0.54,3,247,3,0,0,"RandD","medium",0
0.43,0.46,2,186,2,0,0,"product_mng","low",0
0.9,0.51,4,214,2,0,0,"sales","low",0
0.26,0.71,6,189,2,0,0,"marketing","high",0
0.97,0.64,3,237,3,0,0,"IT","medium",0
0.76,0.8,2,219,4,1,0,"sales","low",0
0.99,0.97,4,211,2,0,1,"marketing","low",0
0.19,0.6,5,198,4,0,0,"support","high",0
0.71,0.8,2,146,4,0,0,"marketing","low",0
0.8,0.81,5,200,3,0,0,"hr","low",0
0.23,0.74,5,219,4,0,0,"sales","medium",0
0.61,0.42,3,145,4,0,1,"sales","medium",0
0.52,0.83,4,210,2,0,0,"product_mng","medium",0
0.84,0.89,4,187,2,1,0,"IT","low",0
0.66,0.56,3,169,2,1,0,"support","medium",0
0.82,0.75,3,161,3,0,0,"sales","low",0
0.59,0.79,3,217,4,0,0,"product_mng","medium",0
0.77,0.87,3,275,4,1,0,"support","medium",0
0.74,0.83,4,210,3,0,0,"support","low",0
0.8,0.74,5,181,4,1,0,"management","medium",0
0.47,0.76,6,174,10,0,0,"IT","medium",0
0.57,0.51,2,152,2,0,0,"accounting","medium",0
0.76,0.81,3,175,3,0,0,"RandD","medium",0
0.62,0.94,3,151,4,0,0,"support","medium",0
0.59,0.39,5,200,4,0,0,"product_mng","medium",0
0.83,0.51,5,143,4,0,0,"sales","medium",0
0.86,0.85,3,254,3,0,0,"technical","medium",0
0.72,0.71,3,135,3,0,0,"technical","low",0
0.69,0.51,3,176,2,0,0,"support","low",0
0.73,0.6,3,137,3,0,0,"hr","medium",0
0.55,0.75,3,156,3,0,0,"product_mng","medium",0
0.85,0.69,3,194,4,0,0,"sales","medium",0
0.82,0.76,4,266,3,0,1,"management","high",0
0.83,0.93,3,247,2,0,0,"hr","low",0
0.98,0.77,3,191,2,0,0,"sales","medium",0
0.78,0.66,6,105,5,1,0,"RandD","low",0
0.63,0.64,3,180,3,0,0,"accounting","low",0
0.71,0.96,3,201,3,0,0,"RandD","low",0
0.76,0.81,4,242,2,0,0,"IT","low",0
0.87,0.65,3,212,3,1,0,"support","low",0
0.85,0.89,4,150,3,0,0,"accounting","high",0
0.8,0.99,4,255,5,1,0,"technical","low",0
0.76,0.58,5,136,3,0,0,"technical","medium",0
0.91,0.88,5,223,3,0,0,"support","low",0
0.64,0.6,3,135,3,0,0,"RandD","low",0
0.59,0.57,2,156,2,0,0,"sales","low",0
0.51,0.69,3,135,3,0,0,"IT","medium",0
0.94,0.81,4,237,3,1,0,"technical","low",0
0.5,0.78,4,185,3,0,0,"RandD","high",0
0.82,0.76,4,266,3,0,1,"management","high",0
0.77,0.96,3,232,2,1,0,"RandD","low",0
0.53,0.97,4,254,3,0,0,"sales","low",0
0.63,0.71,4,244,2,0,0,"support","low",0
0.5,0.6,4,200,2,0,1,"support","medium",0
0.75,0.59,3,117,3,1,0,"RandD","medium",0
0.53,0.74,3,172,10,0,1,"management","high",0
0.35,0.58,3,229,6,1,0,"technical","medium",0
0.95,0.63,4,153,3,0,0,"support","low",0
0.69,0.89,2,202,2,0,0,"IT","medium",0
0.66,0.84,4,186,3,0,0,"IT","medium",0
0.76,0.52,2,229,3,0,1,"technical","medium",0
0.74,1,4,192,4,0,0,"technical","high",0
0.79,0.62,5,167,3,0,0,"sales","low",0
0.94,0.62,3,147,3,0,0,"product_mng","low",0
0.53,0.81,5,135,2,0,0,"sales","medium",0
0.69,0.48,5,232,4,0,0,"sales","medium",0
0.87,0.98,3,174,3,0,0,"hr","low",0
0.72,0.7,3,238,2,0,0,"management","low",0
0.84,0.77,4,262,4,0,0,"technical","low",0
0.16,0.56,6,196,3,0,0,"technical","medium",0
0.82,0.71,5,208,2,0,0,"management","low",0
0.61,0.62,4,140,3,1,0,"support","medium",0
0.99,0.72,3,163,3,0,0,"sales","medium",0
0.81,0.62,4,153,4,0,0,"RandD","low",0
0.31,0.49,4,165,3,1,0,"technical","low",0
0.14,0.58,6,205,3,0,0,"hr","low",0
0.9,0.78,4,261,2,1,0,"sales","medium",0
0.81,0.79,5,135,3,0,0,"technical","low",0
0.86,0.69,5,157,3,0,0,"IT","low",0
0.98,0.62,2,240,3,1,0,"support","low",0
0.69,0.78,5,267,2,1,0,"support","low",0
0.64,0.48,3,147,7,0,0,"sales","high",0
0.95,0.95,4,204,3,1,0,"marketing","low",0
0.73,0.55,4,171,4,0,0,"sales","medium",0
0.53,0.75,4,240,4,0,0,"product_mng","low",0
0.99,0.81,4,229,2,1,0,"sales","medium",0
0.82,0.55,3,217,4,1,0,"technical","medium",0
0.36,0.63,2,278,4,0,0,"RandD","low",0
0.9,0.62,5,225,2,0,0,"sales","medium",0
0.76,0.97,5,172,3,0,0,"sales","medium",0
0.89,0.69,3,173,3,0,0,"sales","medium",0
0.99,1,3,139,2,0,0,"support","medium",0
0.59,0.47,3,159,4,0,0,"product_mng","low",0
0.74,0.58,3,241,3,0,0,"support","low",0
0.13,0.65,4,194,4,0,0,"support","medium",0
0.2,0.78,4,196,3,0,0,"management","low",0
0.61,0.84,3,206,2,0,0,"technical","low",0
0.75,0.58,4,270,3,0,0,"accounting","low",0
0.27,0.47,5,217,6,0,0,"accounting","medium",0
0.81,0.78,3,165,3,0,0,"technical","high",0
0.56,0.7,3,214,2,0,0,"IT","medium",0
0.78,0.67,5,209,3,0,0,"technical","low",0
0.61,0.89,4,242,2,0,0,"management","medium",0
0.36,0.41,3,167,10,0,0,"support","low",0
0.66,0.63,5,264,5,0,0,"accounting","low",0
0.59,0.49,5,122,5,0,0,"technical","medium",0
0.96,0.93,5,141,2,1,0,"sales","medium",0
0.8,0.52,3,253,2,1,0,"sales","low",0
0.14,0.72,6,100,5,0,0,"management","low",0
0.75,0.49,4,246,3,0,0,"support","low",0
0.93,0.68,3,137,3,1,0,"sales","medium",0
0.65,0.72,3,134,3,0,0,"sales","low",0
0.61,0.89,2,287,4,0,0,"sales","medium",0
0.13,0.69,4,127,4,0,0,"sales","high",0
0.49,0.54,4,215,4,0,0,"IT","medium",0
0.62,0.97,2,271,3,0,0,"sales","low",0
0.61,0.63,3,250,4,0,0,"IT","low",0
0.76,0.4,2,245,5,0,0,"product_mng","medium",0
0.85,0.6,5,178,2,0,0,"technical","medium",0
0.17,0.55,6,240,6,0,0,"RandD","low",0
0.67,0.83,5,269,2,0,0,"sales","medium",0
0.44,0.66,3,162,2,0,0,"sales","medium",0
0.95,0.77,4,213,3,1,0,"sales","low",0
0.62,0.76,5,198,3,0,0,"sales","low",0
0.46,0.38,6,165,3,0,0,"accounting","low",0
0.33,0.69,3,125,3,0,0,"management","medium",0
0.52,0.82,4,198,4,0,0,"sales","low",0
0.36,0.4,2,105,3,0,0,"RandD","low",0
0.55,0.6,5,271,3,1,0,"RandD","medium",0
0.89,0.51,3,249,3,0,0,"RandD","medium",0
0.84,0.88,3,194,3,0,0,"RandD","low",0
0.92,0.68,4,138,7,0,0,"sales","medium",0
0.51,0.41,6,106,5,0,0,"sales","medium",0
0.87,0.48,4,133,2,0,0,"RandD","medium",0
0.79,0.49,5,210,3,0,0,"IT","medium",0
0.15,0.75,3,259,8,1,0,"marketing","high",0
0.78,0.98,5,158,2,0,0,"marketing","medium",0
0.78,0.57,5,114,4,0,0,"sales","low",0
0.91,0.94,4,264,4,0,0,"technical","low",0
0.53,0.51,3,274,2,1,0,"product_mng","medium",0
0.98,0.63,3,169,2,0,0,"marketing","low",0
0.66,0.49,5,235,8,1,0,"sales","low",0
0.83,0.55,3,271,7,0,0,"sales","medium",0
0.69,0.54,3,164,7,0,0,"sales","medium",0
0.61,0.5,4,217,4,1,0,"product_mng","medium",0
0.67,0.95,3,229,3,0,0,"sales","medium",0
0.97,0.55,4,181,5,1,0,"RandD","medium",0
0.78,0.5,3,167,2,0,0,"sales","low",0
0.73,0.62,5,186,4,0,0,"technical","low",0
0.5,0.91,5,224,2,1,0,"management","medium",0
0.79,0.82,4,220,3,0,0,"sales","medium",0
0.92,0.9,4,249,3,0,0,"IT","low",0
0.52,0.96,3,271,3,1,0,"technical","medium",0
0.63,0.85,3,232,4,0,0,"IT","medium",0
0.95,0.48,5,214,6,1,1,"sales","medium",0
0.89,0.88,3,203,3,0,0,"accounting","high",0
0.7,0.58,3,211,3,0,0,"sales","medium",0
0.16,0.82,5,121,2,0,0,"sales","medium",0
0.65,0.7,3,243,3,0,0,"sales","medium",0
0.93,0.86,4,169,4,0,0,"sales","low",0
0.93,0.84,5,266,3,0,0,"RandD","low",0
0.77,0.74,5,243,2,0,0,"technical","low",0
0.54,0.62,2,141,2,0,0,"technical","medium",0
0.62,0.79,4,216,2,1,0,"technical","low",0
0.7,0.69,4,158,3,0,0,"IT","low",0
0.8,0.58,4,189,2,0,0,"support","medium",0
0.66,0.53,3,164,6,0,0,"support","low",0
0.69,0.74,5,227,2,0,0,"technical","medium",0
0.67,0.72,4,218,2,1,0,"sales","low",0
0.74,0.53,5,141,2,0,0,"accounting","low",0
0.92,0.97,4,201,2,0,0,"sales","medium",0
0.78,0.79,5,233,3,1,0,"RandD","high",0
0.46,0.58,4,171,3,0,0,"product_mng","low",0
1,0.55,4,186,4,1,0,"technical","medium",0
0.72,0.47,5,168,6,0,0,"sales","high",0
0.94,0.73,4,204,2,0,0,"sales","low",0
0.96,0.78,3,135,3,0,0,"sales","medium",0
0.77,0.83,4,154,3,0,0,"marketing","low",0
0.99,0.98,4,169,3,1,0,"technical","low",0
0.77,0.95,3,192,4,1,0,"RandD","medium",0
0.63,0.93,6,171,3,1,0,"support","low",0
0.74,0.56,3,203,3,0,0,"sales","low",0
0.69,0.76,5,222,3,1,0,"sales","low",0
0.79,0.9,5,184,3,0,0,"marketing","low",0
0.72,0.95,3,145,2,0,0,"RandD","low",0
0.99,0.55,4,179,4,0,0,"marketing","low",0
0.49,0.88,4,270,3,0,0,"product_mng","low",0
0.84,0.9,3,230,3,0,0,"IT","medium",0
0.65,0.52,2,117,10,1,0,"support","low",0
0.58,0.8,4,113,3,0,0,"IT","medium",0
0.52,0.38,3,132,4,0,0,"support","medium",0
0.77,0.56,3,236,3,1,0,"accounting","medium",0
0.88,0.77,3,279,3,1,0,"sales","medium",0
0.5,0.38,5,175,4,0,0,"technical","high",0
0.76,0.97,3,271,3,0,0,"sales","low",0
0.89,0.66,4,252,3,0,0,"technical","medium",0
0.76,0.95,2,156,4,0,0,"support","high",0
0.87,0.41,3,219,3,1,0,"IT","low",0
0.72,0.61,5,170,3,0,0,"technical","medium",0
0.51,0.75,3,133,3,0,0,"sales","medium",0
0.65,0.78,4,205,2,0,0,"support","medium",0
0.57,0.64,3,188,3,0,0,"management","medium",0
0.97,0.66,4,149,2,0,0,"accounting","low",0
0.58,0.77,4,145,3,1,0,"support","low",0
0.45,0.42,4,140,2,0,0,"sales","low",0
0.6,0.64,5,221,2,0,0,"technical","low",0
0.96,0.89,3,163,2,0,0,"RandD","low",0
0.72,0.88,3,189,3,1,0,"management","high",0
0.85,0.99,5,176,4,0,0,"product_mng","low",0
0.96,0.71,3,205,8,1,0,"management","medium",0
0.65,0.94,4,184,7,0,0,"sales","medium",0
0.49,0.67,3,140,2,0,0,"hr","medium",0
0.85,0.78,3,165,4,0,0,"marketing","medium",0
0.87,0.64,5,234,2,1,0,"IT","medium",0
0.45,0.43,4,253,4,0,0,"support","medium",0
0.44,0.66,6,134,8,0,0,"RandD","high",0
0.19,0.68,5,149,3,0,0,"hr","medium",0
0.49,0.43,5,210,4,1,0,"technical","medium",0
0.24,0.62,5,169,4,0,0,"support","medium",0
0.71,0.43,2,100,6,0,0,"technical","medium",0
0.52,0.37,3,137,4,0,0,"sales","low",0
0.42,0.91,2,176,3,0,0,"technical","low",0
0.84,0.59,4,216,2,0,0,"support","low",0
0.63,0.86,4,169,2,0,0,"sales","high",0
0.69,0.6,3,139,2,0,0,"marketing","low",0
0.91,0.68,4,178,3,1,0,"sales","medium",0
0.88,0.74,3,273,10,0,0,"sales","medium",0
0.55,0.81,3,239,8,0,0,"accounting","high",0
0.52,0.57,3,150,3,0,0,"sales","low",0
0.67,0.78,3,235,3,0,0,"support","low",0
0.62,0.59,3,128,3,0,0,"RandD","medium",0
0.68,0.57,3,197,3,1,0,"support","medium",0
0.78,0.82,4,143,3,0,0,"support","medium",0
0.84,0.95,4,208,3,1,0,"support","medium",0
0.97,0.85,4,219,3,0,0,"technical","medium",0
0.33,0.65,3,172,10,0,1,"marketing","high",0
0.16,0.93,5,210,7,0,1,"management","medium",0
0.86,0.94,5,209,4,0,0,"sales","low",0
0.85,0.81,2,223,3,1,0,"product_mng","low",0
0.94,0.64,5,247,10,0,0,"sales","medium",0
0.9,0.85,3,158,7,0,0,"marketing","medium",0
0.87,0.7,3,224,3,0,0,"support","low",0
0.89,0.97,4,147,2,0,0,"technical","low",0
0.48,0.56,4,271,3,0,0,"technical","high",0
0.77,0.82,3,153,3,1,0,"technical","medium",0
0.71,0.5,3,201,2,0,0,"sales","low",0
0.62,0.79,4,268,6,0,0,"sales","medium",0
0.67,0.55,3,217,2,0,0,"RandD","high",0
0.82,0.91,5,271,2,0,1,"RandD","medium",0
0.13,0.49,6,227,4,0,0,"technical","medium",0
0.6,0.99,3,187,2,0,0,"RandD","low",0
0.97,0.4,4,258,4,1,0,"technical","medium",0
0.56,0.91,4,188,2,1,0,"sales","low",0
0.74,0.81,5,106,5,0,0,"sales","medium",0
0.9,0.87,4,231,5,0,0,"management","low",0
0.78,0.61,5,260,2,0,0,"accounting","medium",0
0.86,0.72,4,173,3,0,0,"technical","low",0
0.96,0.61,3,140,3,0,0,"marketing","low",0
0.97,0.48,4,221,3,0,0,"RandD","medium",0
0.8,0.98,3,189,6,0,0,"IT","low",0
0.61,1,4,133,4,0,0,"sales","low",0
0.74,1,4,199,4,0,0,"management","high",0
0.63,0.72,6,163,4,0,0,"IT","high",0
0.83,0.8,3,240,8,0,0,"sales","low",0
0.91,0.82,6,280,3,0,0,"technical","low",0
0.22,0.51,4,131,2,0,0,"technical","medium",0
0.67,0.63,3,270,5,0,0,"sales","low",0
0.86,0.66,4,251,3,0,0,"RandD","low",0
0.6,0.6,3,258,3,0,0,"sales","low",0
0.49,0.77,3,211,3,0,0,"IT","high",0
0.82,0.8,3,162,3,0,0,"sales","medium",0
0.82,0.49,5,203,6,0,0,"technical","low",0
0.84,0.85,3,243,2,0,0,"accounting","low",0
0.65,0.92,4,242,2,0,0,"RandD","medium",0
0.14,0.57,4,207,5,0,0,"sales","low",0
0.85,0.67,4,163,3,0,0,"technical","low",0
0.58,0.79,4,149,6,0,0,"sales","medium",0
0.28,0.59,6,281,3,0,0,"product_mng","medium",0
0.59,0.91,4,142,3,1,0,"support","medium",0
0.53,0.61,4,198,2,0,0,"product_mng","low",0
0.63,0.55,3,160,3,0,0,"sales","low",0
0.61,0.98,2,238,4,0,0,"support","medium",0
0.57,0.6,2,163,3,0,0,"sales","medium",0
0.58,0.75,4,244,4,0,0,"sales","low",0
0.8,0.63,4,211,2,0,0,"product_mng","medium",0
0.85,0.65,3,195,3,0,0,"support","medium",0
0.97,0.49,4,213,2,0,0,"sales","medium",0
0.98,0.78,4,155,3,1,0,"technical","low",0
0.61,0.96,3,247,3,0,0,"support","low",0
0.9,0.65,3,254,2,0,0,"support","high",0
1,0.77,5,269,3,0,0,"sales","low",0
0.72,0.59,3,255,2,0,0,"support","high",0
0.41,0.96,6,171,5,1,0,"support","medium",0
0.56,0.48,4,197,3,1,0,"technical","high",0
0.67,0.75,3,194,3,0,0,"hr","medium",0
0.44,0.44,2,141,7,1,1,"management","high",0
0.85,0.81,3,205,3,0,0,"marketing","high",0
0.6,0.58,2,182,2,0,0,"support","medium",0
0.87,0.54,3,260,2,0,0,"sales","medium",0
0.6,0.86,6,247,6,0,0,"product_mng","medium",0
0.88,0.87,5,257,3,0,0,"IT","medium",0
0.57,0.82,4,269,2,0,0,"technical","medium",0
0.55,0.78,4,261,3,0,0,"management","high",0
0.88,0.51,3,211,7,0,0,"sales","medium",0
0.77,0.55,3,217,3,0,0,"support","medium",0
0.49,0.52,4,161,7,0,0,"management","high",0
0.99,0.54,4,196,4,1,0,"hr","high",0
0.71,0.95,4,249,3,0,0,"hr","low",0
0.56,0.63,3,145,2,0,0,"sales","high",0
0.62,0.71,4,268,3,0,0,"technical","low",0
0.57,0.46,3,186,3,1,0,"IT","medium",0
0.2,0.6,5,261,8,0,0,"sales","medium",0
0.95,0.9,3,155,3,0,0,"technical","medium",0
0.83,0.76,2,255,7,0,0,"sales","low",0
0.44,0.61,5,230,6,0,0,"marketing","low",0
0.55,0.54,3,253,2,0,0,"support","low",0
0.73,0.77,3,233,3,0,0,"sales","medium",0
0.7,0.93,3,250,3,0,0,"marketing","low",0
0.52,0.84,4,212,3,0,0,"IT","medium",0
0.22,0.74,3,199,6,0,0,"accounting","medium",0
0.98,0.75,5,168,4,1,0,"RandD","medium",0
0.95,0.52,3,144,3,0,0,"sales","medium",0
0.72,0.94,3,258,3,0,0,"product_mng","medium",0
0.8,0.74,3,228,3,0,0,"technical","medium",0
0.96,0.51,4,237,3,0,0,"sales","low",0
0.42,0.46,3,128,2,1,0,"RandD","low",0
0.32,0.81,2,249,3,0,0,"accounting","low",0
0.59,0.87,4,191,2,0,0,"technical","low",0
0.52,1,4,148,3,0,0,"RandD","medium",0
0.53,0.77,2,167,2,0,0,"support","medium",0
0.98,0.38,4,140,6,0,0,"accounting","medium",0
0.13,0.61,6,283,5,0,0,"sales","medium",0
0.69,0.66,3,215,6,0,0,"sales","high",0
0.51,0.93,5,232,3,0,0,"support","medium",0
0.53,0.61,3,148,10,0,0,"management","high",0
0.8,0.9,4,136,3,0,0,"technical","low",0
0.73,0.54,3,283,6,0,0,"accounting","medium",0
0.85,0.9,3,245,3,0,0,"marketing","medium",0
0.53,0.96,4,272,2,0,0,"support","low",0
0.22,0.57,5,174,6,0,0,"technical","high",0
0.42,0.58,2,140,3,0,0,"IT","low",0
0.68,0.79,4,184,3,0,0,"marketing","low",0
0.88,0.8,4,239,3,0,0,"sales","low",0
0.99,0.9,4,181,3,0,0,"support","medium",0
0.75,0.84,4,195,3,0,0,"marketing","low",0
0.95,0.7,4,267,3,1,0,"technical","low",0
0.79,0.72,4,192,3,0,0,"IT","low",0
0.56,0.62,3,154,2,0,0,"sales","low",0
0.97,0.61,4,167,3,0,1,"accounting","high",0
0.95,0.86,2,263,4,0,0,"sales","medium",0
0.79,0.65,3,235,10,0,0,"technical","low",0
0.92,0.77,3,236,3,0,0,"sales","medium",0
0.51,0.87,3,180,4,0,0,"hr","low",0
0.92,0.51,5,214,3,0,0,"hr","low",0
0.29,0.8,5,103,6,0,0,"sales","medium",0
0.95,0.51,3,254,4,0,0,"technical","medium",0
0.85,0.65,3,187,2,0,0,"management","high",0
0.67,0.52,2,102,6,0,0,"technical","low",0
0.79,0.58,4,191,6,0,0,"technical","low",0
0.8,0.58,3,197,3,0,0,"support","medium",0
0.87,0.77,3,190,3,0,0,"management","low",0
0.2,0.54,5,162,6,0,0,"sales","low",0
0.89,0.53,4,208,3,0,0,"sales","high",0
0.16,0.96,6,211,6,1,0,"RandD","low",0
0.77,0.62,3,218,2,0,0,"support","medium",0
0.58,0.9,5,257,3,0,0,"marketing","medium",0
0.13,1,6,225,3,0,0,"product_mng","medium",0
0.92,0.54,5,141,2,0,0,"RandD","low",0
1,0.85,3,202,2,0,0,"hr","medium",0
0.22,0.88,5,154,5,0,0,"sales","low",0
0.86,0.65,5,166,3,0,0,"sales","medium",0
0.96,0.71,4,210,3,0,0,"technical","medium",0
0.99,0.55,3,97,6,1,0,"technical","medium",0
0.63,0.7,5,160,3,0,0,"management","high",0
0.96,0.94,3,182,3,0,0,"marketing","high",0
0.37,0.71,2,139,4,0,0,"RandD","high",0
